game_id,home_team,away_team,season_type,week,stadium,roof,surface,temp,wind,home_win
2022_08_GB_BUF,BUF,GB,REG,8,Highmark Stadium,outdoors,a_turf,,,1
2022_08_LV_NO,NO,LV,REG,8,Caesars Superdome,dome,sportturf,,,1
2022_08_MIA_DET,DET,MIA,REG,8,Ford Field,dome,fieldturf,,,1
2022_08_NE_NYJ,NYJ,NE,REG,8,MetLife Stadium,outdoors,fieldturf,,,0
2022_08_NYG_SEA,SEA,NYG,REG,8,Lumen Field,outdoors,fieldturf,,,1
2022_08_PIT_PHI,PHI,PIT,REG,8,Lincoln Financial Field,outdoors,grass,,,1
2022_08_SF_LA,LA,SF,REG,8,SoFi Stadium,dome,matrixturf,,,0
2022_08_TEN_HOU,HOU,TEN,REG,8,NRG Stadium,closed,astroturf,,,0
2022_08_WAS_IND,IND,WAS,REG,8,Lucas Oil Stadium,closed,fieldturf,,,0
2022_09_BAL_NO,NO,BAL,REG,9,Caesars Superdome,dome,sportturf,,,0
2022_09_BUF_NYJ,NYJ,BUF,REG,9,MetLife Stadium,outdoors,fieldturf,69.0,17.0,1
2022_09_CAR_CIN,CIN,CAR,REG,9,Paycor Stadium,outdoors,fieldturf,68.0,11.0,1
2022_09_GB_DET,DET,GB,REG,9,Ford Field,dome,fieldturf,,,1
2022_09_IND_NE,NE,IND,REG,9,Gillette Stadium,outdoors,fieldturf,78.0,13.0,1
2022_09_LAC_ATL,ATL,LAC,REG,9,Mercedes-Benz Stadium,open,fieldturf,,,1
2022_09_LA_TB,TB,LA,REG,9,Raymond James Stadium,outdoors,grass,88.0,2.0,0
2022_09_LV_JAX,JAX,LV,REG,9,EverBank Stadium,outdoors,grass,81.0,14.0,1
2022_09_MIA_CHI,CHI,MIA,REG,9,Soldier Field,outdoors,grass,58.0,17.0,0
2022_09_MIN_WAS,WAS,MIN,REG,9,Commanders Field,outdoors,grass,71.0,11.0,1
2022_09_PHI_HOU,HOU,PHI,REG,9,NRG Stadium,closed,astroturf,,,0
2022_09_SEA_ARI,ARI,SEA,REG,9,State Farm Stadium,open,grass,,,0
2022_09_TEN_KC,KC,TEN,REG,9,GEHA Field at Arrowhead Stadium,outdoors,grass,54.0,7.0,0
2022_10_ARI_LA,LA,ARI,REG,10,SoFi Stadium,dome,matrixturf,,,0
2022_10_ATL_CAR,CAR,ATL,REG,10,Bank of America Stadium,outdoors,grass,61.0,12.0,1
2022_10_CLE_MIA,MIA,CLE,REG,10,Hard Rock Stadium,outdoors,grass,85.0,7.0,1
2022_10_DAL_GB,GB,DAL,REG,10,Lambeau Field,outdoors,grass,33.0,8.0,0
2022_10_DEN_TEN,TEN,DEN,REG,10,Nissan Stadium,outdoors,grass,36.0,9.0,1
2022_10_DET_CHI,CHI,DET,REG,10,Soldier Field,outdoors,grass,34.0,13.0,1
2022_10_HOU_NYG,NYG,HOU,REG,10,MetLife Stadium,outdoors,fieldturf,50.0,15.0,1
2022_10_IND_LV,LV,IND,REG,10,Allegiant Stadium,dome,grass,,,0
2022_10_JAX_KC,KC,JAX,REG,10,GEHA Field at Arrowhead Stadium,outdoors,grass,33.0,7.0,1
2022_10_LAC_SF,SF,LAC,REG,10,Levi's® Stadium,outdoors,grass,57.0,6.0,0
2022_10_MIN_BUF,BUF,MIN,REG,10,Highmark Stadium,outdoors,a_turf,38.0,11.0,1
2022_10_NO_PIT,PIT,NO,REG,10,Acrisure Stadium,outdoors,grass,37.0,15.0,0
2022_10_SEA_TB,TB,SEA,REG,10,Allianz Arena,outdoors,,,,1
2022_10_WAS_PHI,PHI,WAS,REG,10,Lincoln Financial Field,outdoors,grass,43.0,6.0,0
2022_11_CAR_BAL,BAL,CAR,REG,11,M&T Bank Stadium,outdoors,grass,36.0,2.0,0
2022_11_CHI_ATL,ATL,CHI,REG,11,Mercedes-Benz Stadium,closed,fieldturf,,,0
2022_11_CIN_PIT,PIT,CIN,REG,11,Acrisure Stadium,outdoors,grass,27.0,12.0,0
2022_11_CLE_BUF,BUF,CLE,REG,11,Ford Field,dome,fieldturf,,,1
2022_11_DAL_MIN,MIN,DAL,REG,11,U.S. Bank Stadium,dome,sportturf,,,0
